Artikel Nr HOD;*Hersteller;*Typ;*Art.Gruppe Txt;*Bezeichnung;*Tuning;*Status;*Nettopreis Handel;*Empf.Werkstattpreis;*Empf.Endverbr.Preis;*VPE;*OE-Nummer;*EAN;*Priority Part;*Anlagedatum;*Länge cm;*Breite  cm;*Höhe  cm;*Gewicht Brutto;*Gewicht Netto;*GLS J/N;*Zolltarifnr;*Produktgruppe;*Gültig ab;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*
LID10125;*;*H4 12V 60/55W P43t;*LEUCHTMITTEL;*H4 Halogen      Xenon-Look;*K;*1;*5.94;*9.18;*10.18;*1;*;*4052355624833;*;*20180111;*5;*5;*7;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, headlight;*H4 Halogen      Xenon-Look;*Voltage [V]: 12;*Rated Power [W]: 60/55;*Bulb Type: H4;*Light Design: Halogen;*Socket Type: P43t;*Version: + 30%;*;*
LID10126;*;*H7 12V 55W PX26d;*LEUCHTMITTEL;*H7 Halogen      Xenon-Look;*K;*5;*5.16;*12.9;*15.9;*1;*;*4052355624840;*;*20180111;*6;*4;*4;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, headlight;*H7 Halogen      Xenon-Look;*Voltage [V]: 12;*Rated Power [W]: 55;*Bulb Type: H7;*Light Design: Halogen;*Socket Type: PX26d;*Version: + 30% more light;*;*
LID10128;*;*PY21W 12V 21W BAU15s Amber;*LEUCHTMITTEL;*PY21W Glühlampe   Halogen;*K;*1;*0.66;*0.92;*1.5;*10;*;*4052355624864;*;*20180111;*14;*6;*5;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, indicator;*PY21W Glhlampe   Halogen;*Voltage [V]: 12;*Rated Power [W]: 21;*Bulb Type: PY21W;*Version: longlife;*Bulb Colour: Orange;*Quantity Unit: Packing Unit;*;*
LID10129;*;*P21/5W 12V 21/5W BAY15d;*LEUCHTMITTEL;*P21/5W Glühlampe   Halogen;*K;*1;*0.66;*1.05;*1.09;*10;*;*4052355624871;*;*20180111;*13;*5;*4;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, brake/tail light;*P21/5W Glhlampe   Halogen;*Voltage [V]: 12;*Rated Power [W]: 21/5;*Bulb Type: P21/ 5W;*Socket Type: BAY15d;*Version: longlife;*Quantity Unit: Packing Unit;*;*
LID10130;*;*P21/4W 12V 21/4W BAY15d;*LEUCHTMITTEL;*P21/4W Glühlampe   Halogen;*K;*1;*0.66;*0.97;*1.29;*10;*;*4052355624888;*;*20180111;*14;*6;*5;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, brake/tail light;*P21/4W Glhlampe   Halogen;*Voltage [V]: 12;*Rated Power [W]: 21/4;*Bulb Type: P21/4W;*Socket Type: BAZ15d;*Version: longlife;*Quantity Unit: Packing Unit;*;*
LID10131;*;*R10W 12V 10W BA15s;*LEUCHTMITTEL;*R10W Glühlampe Halogen;*K;*1;*0.43;*0.63;*0.75;*10;*;*4052355624895;*;*20180111;*11;*5;*4;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, indicator;*R10W Glhlampe Halogen;*Voltage [V]: 12;*Equipment Variant: longlife;*Rated Power [W]: 10;*Bulb Type: R10W;*Socket Type: BA15s;*Voltage [V]: 12;*;*
LID10132;*;*T4W 12V 4W BA9s;*LEUCHTMITTEL;*T4W Glühlampe Halogen;*K;*1;*0.46;*0.72;*0.79;*10;*;*4052355624901;*;*20180111;*11;*4;*3;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, indicator;*T4W Glhlampe Halogen;*Equipment Variant: longlife;*Voltage [V]: 12;*Rated Power [W]: 4;*Bulb Type: T4W;*Socket Type: BA9s;*;*;*
LID10133;*;*W5W (T10) 12V 5W W2,1x9,5d;*LEUCHTMITTEL;*W5W (T10) Glassockellampe;*K;*1;*0.27;*0.44;*0.9;*10;*;*4052355624918;*;*20180111;*11;*4;*3;*0.01;*0.01;*J;*8539 2930;*21;*20230401;*Bulb, interior light;*W5W (T10) Glassockellampe;*Equipment Variant: longlife;*Voltage [V]: 12;*Rated Power [W]: 5;*Bulb Type: W5W;*Socket Type: W2,1x9,5d;*;*;*
LID10134;*;*W5W (T10) 12V 5W W2,1x9,5d;*LEUCHTMITTEL;*W5W (T10) Glassockellampe;*K;*1;*0.55;*0.92;*1.2;*10;*;*4052355624932;*;*20180111;*3;*1;*1;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, interior light;*W5W (T10) Glassockellampe;*Equipment Variant: xenon look;*Voltage [V]: 12;*Rated Power [W]: 5;*Bulb Type: W5W;*;*;*;*
LID10135;*;*C5W 12V 5W SV8,5-8;*LEUCHTMITTEL;*C5W Sofitte;*K;*1;*0.48;*0.72;*0.93;*1;*;*4052355624949;*;*20180111;*9;*5;*4;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, interior light;*C5W Sofitte;*Voltage [V]: 12;*Rated Power [W]: 5;*Bulb Type: C5W;*Socket Type: SV8,5-8;*Length [mm]: 31;*Diameter [mm]: 11;*;*
LID10136;*;*H6W 12V 6W BAX9s;*LEUCHTMITTEL;*H6W Halogenlampe;*K;*1;*2.35;*3.44;*4.48;*10;*;*4052355624956;*;*20180111;*9;*5;*4;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, tail light;*H6W Halogenlampe;*Voltage [V]: 12;*Rated Power [W]: 6;*Bulb Type: H6 W;*Equipment Variant: longlife;*Socket Type: BAX9s;*Quantity Unit: Packing Unit;*;*
LID10200;*;*WAND DISP. 12V PREM. GROSS;*LEUCHTMITTEL;*SORTIMENT MIT 585 LAMPEN;*K;*1;*625.65;*783.37;*870.41;*1;*;*4052355518217;*;*20161216;*67;*59;*26;*6;*5;*J;*8539 2930;*21;*20230401;*Bulbs Assortment;*SORTIMENT MIT 585 LAMPEN;*Voltage [V]: 12;*;*;*;*;*;*;*
LID10202;*;*WAND DISP. 12V STAN. GROSS;*LEUCHTMITTEL;*SORTIMENT MIT 585 LAMPEN;*K;*1;*424.19;*530.67;*589.63;*1;*;*4052355518231;*;*20161216;*67;*59;*26;*6;*5;*J;*8539 2930;*21;*20230401;*Bulbs Assortment;*SORTIMENT MIT 585 LAMPEN;*Voltage [V]: 12;*Equipment Variant: standard groÇf÷;*;*;*;*;*;*
LID10203;*;*WAND DISP. 12V STAN. KLEIN;*LEUCHTMITTEL;*SORTIMENT MIT 516 LAMPEN;*K;*1;*334.65;*424.27;*551.55;*1;*;*4052355518248;*;*20161216;*67;*59;*26;*5;*4;*J;*8539 2930;*21;*20230401;*Bulbs Assortment;*SORTIMENT MIT 516 LAMPEN;*Alternatively:;*Voltage [V]: 12;*Equipment Variant: standard klein;*;*;*;*;*
LID10204;*;*D2S 35W P32d-2;*LEUCHTMITTEL;*D2S Xenon;*K;*1;*33.46;*50.41;*104.63;*1;*;*4052355529985;*;*20170516;*9;*4;*4;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, headlight;*D2S Xenon;*Bulb Type: D2S  (gas discharge tube);*Light Design: Xenon;*Rated Power [W]: 35;*Socket Type: P32d-2;*Voltage [V]: 85;*;*;*
LID10205;*;*D2R 35W P32d-3;*LEUCHTMITTEL;*D2R Xenon;*K;*1;*33.46;*51.74;*104.63;*1;*;*4052355529992;*;*20170516;*9;*4;*4;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, headlight;*D2R Xenon;*Bulb Type: D2R  (gas discharge tube);*Light Design: Xenon;*Rated Power [W]: 35;*Socket Type: P32d-3;*Voltage [V]: 85;*;*;*
LID10206;*;*D1S 35W PK32d-2;*LEUCHTMITTEL;*D1S Xenon;*K;*1;*44.65;*63.71;*119.25;*1;*;*4052355530004;*;*20170516;*10;*6;*5;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, headlight;*D1S Xenon;*Bulb Type: D1S (gas discharge tube);*Light Design: Xenon;*Rated Power [W]: 35;*Socket Type: PK32d-2;*Voltage [V]: 85;*;*;*
LID10215;*;*H6W 12V 6W BAX9s;*LEUCHTMITTEL;*H6W 12V 6W BAX9s;*K;*1;*2.01;*2.59;*3.37;*10;*;*4052355624819;*;*20180111;*9;*5;*4;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, tail light;*H6W 12V 6W BAX9s;*Voltage [V]: 12;*Rated Power [W]: 6;*Bulb Type: H6 W;*Socket Type: BAX9s;*Quantity Unit: Packing Unit;*;*;*
LID10216;*AUDI;*H1 12V 55W P14,5s;*LEUCHTMITTEL;*H1 Halogen XENON LOOK;*K;*1;*5.54;*7.83;*8.94;*1;*N0177612;*4052355624826;*;*20180111;*8;*3;*3;*0.1;*0;*J;*8539 2930;*21;*20230401;*Bulb, headlight;*H1 Halogen XENON LOOK;*Bulb Type: H1;*Rated Power [W]: 55;*Socket Type: P14,5s;*Voltage [V]: 12;*Equipment Variant: xenon look;*;*;*
LID10218;*;*KABELS. DYN.BLINK.  GOLF7,;*TUNING ZUBEHÖR;*12->>;*T;*1;*28;*0;*0;*1;*;*4052355652478;*;*20190325;*11;*6;*4;*0.08;*0.06;*J;*8708 1090;*114;*20230401;*Harness, combination rearlight;*12->>;*Light Function: for indicator;*Light Design: LED;*Light Function: With Wiping Effect;*;*;*;*;*
LID10219;*;*C5W 24V WY5W T10;*LEUCHTMITTEL;*ORANGE/AMBER;*K;*5;*0.26;*0.59;*0.99;*10;*;*4052355724212;*;*20211223;*12;*5;*4;*0.14;*0.1;*J;*8539 2930;*21;*20230401;*;*ORANGE/AMBER;*;*;*;*;*;*;*;*
LID10300;*;*LED NEBELLAMPEN SET;*2in1-LIGHTS;*INCL.LED TAGFAHRLICHT;*T;*1;*96;*0;*0;*1;*;*4052355627889;*;*20180326;*24;*19;*13;*1.6;*1.4;*J;*8512 2000;*54;*20230401;*Fog Light Set;*INCL.LED TAGFAHRLICHT;*Light Design: LED;*Light Function: with daylight running light;*Reflector Colour: Chrome / Black;*Diffusing Lens Type: Clear diffusing lens;*Protection Type (IP Code): IP67;*Diameter [cm]: 9;*;*
LID10301;*SMART;*LED TAGFAHRLICHTSET SMART,;*TAGFAHRLICHT Tuning;*12-14;*T;*1;*89.9;*0;*0;*1;*451AA906AA03AA51;*4052355638397;*;*20180828;*26;*20;*9;*1;*0.9;*J;*8512 2000;*24;*20230401;*Daytime Running Light;*Dez 14;*Light Design: LED;*Light Design: Conversion to LED technology;*Quantity Unit: Kit;*Light Function: 116;*;*;*;*
LID10400;*;*LED KENNZEICHENLEUCHTE SET;*LED KENNZEICHENLEUCH;*RENAULT DIVERSE MODELLE;*T;*1;*11;*0;*0;*1;*;*4052355630582;*;*20180502;*6;*9;*4;*0.07;*0.06;*J;*8512 2000;*122;*20230401;*Licence Plate Light;*RENAULT DIVERSE MODELLE;*Fitting Position: Rear;*Light Design: LED;*;*;*;*;*;*
LID10402;*;*LED KENNZEICHENLEUCHTE AUD;*LED KENNZEICHENLEUCH;*97-04                 AUDI;*T;*1;*11;*0;*0;*1;*;*4052355630605;*;*20180502;*6;*9;*4;*0.9;*0.68;*J;*8512 2000;*122;*20230401;*Licence Plate Light;*97-04                 AUDI;*Fitting Position: Rear;*Light Design: LED;*Quantity Unit: Kit;*Number of LEDs: 18;*;*;*;*
LID10403;*;*KENNZEICHENLEUCHTE SET A4,;*LED KENNZEICHENLEUCH;*95-00                 LED,;*T;*1;*11;*0;*0;*1;*;*4052355630636;*;*20180502;*6;*9;*4;*0.9;*0.68;*J;*8512 2000;*122;*20230401;*Licence Plate Light;*95-00                 LED,;*Fitting Position: Rear;*Light Design: LED;*;*;*;*;*;*
LID10404;*;*LED KENNZEICHENLEUCHTEN VW;*LED KENNZEICHENLEUCH;*01-09                   VW;*T;*1;*11;*0;*0;*1;*;*4052355630735;*;*20180503;*6;*9;*4;*0.9;*0.68;*J;*8512 2000;*122;*20230401;*Licence Plate Light;*01-09                   VW;*Fitting Position: Rear;*Light Design: LED;*Vehicle Main Current: 4;*;*;*;*;*
LID10405;*;*LED KENNZEICHENLEUCHTE  VW;*LED KENNZEICHENLEUCH;*10-                     VW;*T;*1;*11;*0;*0;*1;*;*4052355630742;*;*20180503;*6;*9;*4;*0.9;*0.68;*J;*8512 2000;*122;*20230401;*Licence Plate Light;*10-                     VW;*Fitting Position: Rear;*Bulb Type: LED;*Light Design: LED;*;*;*;*;*
LID10406;*;*LED KENNZEICHENLEUCHTE;*LED KENNZEICHENLEUCH;*97-09                 SEAT;*T;*1;*11;*0;*0;*1;*;*4052355630759;*;*20180503;*6;*9;*4;*0.9;*0.68;*J;*8512 2000;*122;*20230401;*Licence Plate Light;*97-09                 SEAT;*Fitting Position: Rear;*Bulb Type: LED;*Light Design: LED;*;*;*;*;*
LID10407;*;*LED KENNZEICHENLEUCHTE;*LED KENNZEICHENLEUCH;*06->>                SKODA;*T;*1;*11;*0;*0;*1;*;*4052355630766;*;*20180503;*6;*9;*4;*0.9;*0.68;*J;*8512 2000;*122;*20230401;*Licence Plate Light;*06->>                SKODA;*Fitting Position: Rear;*Bulb Type: LED;*Light Design: LED;*;*;*;*;*
LID10408;*;*LED KENNZEICHENLEUCHTE;*LED KENNZEICHENLEUCH;*12->>                OPEL;*T;*1;*10;*0;*0;*1;*;*4052355630780;*;*20180503;*6;*9;*4;*0.9;*0.68;*J;*8512 2000;*122;*20230401;*Licence Plate Light;*12->>                OPEL;*Fitting Position: Rear;*Light Design: LED;*;*;*;*;*;*
LID10409;*;*LED KENNZEICHENL. SATZ;*LED KENNZEICHENLEUCH;*88->>                OPEL;*T;*1;*11;*0;*0;*1;*;*4052355630797;*;*20180503;*6;*9;*4;*0.9;*0.68;*J;*8512 2000;*122;*20230401;*Licence Plate Light;*88->>                OPEL;*Fitting Position: Rear;*Light Design: LED;*Quantity Unit: Set;*;*;*;*;*
LID10410;*PORSC;*LED KENNZEICHENLEUCHTE;*LED KENNZEICHENLEUCH;*02->>                   VW;*T;*1;*11;*0;*0;*1;*95563162000;*4052355630803;*;*20180503;*6;*9;*4;*0.9;*0.68;*J;*8512 2000;*122;*20230401;*Licence Plate Light;*02->>                   VW;*Fitting Position: Rear;*Light Design: LED;*;*;*;*;*;*
W108022;*;*TROCKNER           W108/9,;*TROCKNER;*68-72;*C;*5;*52.53;*0;*0;*1;*;*4052355701183;*;*20210113;*35;*7;*5;*1.2;*1.1;*J;*8415 2000;*13;*20230401;*;*68-72;*;*;*;*;*;*;*;*
ZUB00001;*;*KAPPE SRA RECHTS     W204,;*TUNING ZUBEHÖR;*KAPPE SRA RE.;*T;*1;*9.5;*0;*0;*1;*;*4052355522849;*;*20170215;*15;*10;*9;*0.07;*0.07;*J;*8708 1090;*114;*20230401;*Cover, bumper;*KAPPE SRA RE.;*Fitting Position: Right Front;*;*;*;*;*;*;*
ZUB00002;*;*KAPPE SRA LINKS      W204,;*TUNING ZUBEHÖR;*KAPPE SRA LI.;*T;*1;*9.5;*0;*0;*1;*;*4052355522856;*;*20170215;*15;*10;*6;*0.07;*0.07;*J;*8708 1090;*114;*20230401;*Cover, bumper;*KAPPE SRA LI.;*Fitting Position: Left Front;*;*;*;*;*;*;*
ZUB00003;*;*KAPPE ABSCHLEPP VO.  W204,;*TUNING ZUBEHÖR;*ABSCHLEPPKAPPE VO. FÜR AMG;*T;*1;*11;*0;*0;*1;*;*4052355522863;*;*20170215;*13;*5;*2;*0.05;*0.05;*J;*8708 1090;*114;*20230401;*Flap, tow hook;*ABSCHLEPPKAPPE VO. FšR AMG;*Fitting Position: Front;*for article number: 1672750;*;*;*;*;*;*
ZUB00004;*;*KAPPE SRA RE         W211,;*TUNING ZUBEHÖR;*KAPPE SRA RE;*T;*1;*10.9;*0;*0;*1;*;*4052355523129;*;*20170216;*12;*9;*4;*0.07;*0.07;*J;*8708 1090;*114;*20230401;*Cover, bumper;*KAPPE SRA RE;*Fitting Position: Front;*Fitting Position: Right;*;*;*;*;*;*
ZUB00005;*;*KAPPE SRA LI         W211,;*TUNING ZUBEHÖR;*KAPPE SRA LI;*T;*1;*10;*0;*0;*1;*;*4052355523136;*;*20170216;*12;*9;*4;*0.07;*0.07;*J;*8708 1090;*114;*20230401;*Cover, bumper;*KAPPE SRA LI;*Fitting Position: Front;*Fitting Position: Left;*;*;*;*;*;*
ZUB00006;*;*KAPPE ABSCHLEPP VO.  W211,;*TUNING ZUBEHÖR;*KAPPE ABSCHLEPPÖSE VORNE;*T;*1;*8;*0;*0;*1;*;*4052355523143;*;*20170216;*10;*4;*1;*0.01;*0.01;*J;*8708 1090;*114;*20230401;*Flap, tow hook;*KAPPE ABSCHLEPP™SE VORNE;*Fitting Position: Front;*for article number: 1615350;*for article number: 1615352;*for article number: 1615354;*;*;*;*
ZUB00007;*;*GITTER VORNE         W211,;*TUNING ZUBEHÖR;*GITTER VORNE UNTEN MITTE;*T;*1;*67;*0;*0;*1;*;*4052355523303;*;*20170220;*89;*14;*13;*0.72;*0.44;*J;*8708 1090;*114;*20230401;*Ventilation Grille, bumper;*GITTER VORNE UNTEN MITTE;*Fitting Position: Front;*Fitting Position: Lower;*Fitting Position: Centre;*;*;*;*;*
ZUB00009;*;*ZIERLEISTE HINTEN  E92/93,;*TUNING ZUBEHÖR;*06-09;*T;*1;*19;*0;*0;*1;*;*4052355523341;*;*20170220;*73;*4;*1;*0.1;*0.1;*J;*8708 1090;*114;*20230401;*Trim/Protective Strip, bumper;*06. Sep;*Fitting Position: Rear;*Fitting Position: Lower;*;*;*;*;*;*
ZUB00010;*BMW;*KAPPE ABSCHLEPP HI    E91,;*TUNING ZUBEHÖR;*KAPPE ABSCHLEPPÖSE HINTEN;*T;*1;*14.5;*0;*0;*1;*51 12 8 041 135;*4052355523365;*;*20170220;*5;*5;*1;*0.01;*0.01;*J;*8708 1090;*114;*20230401;*Flap, tow hook;*KAPPE ABSCHLEPP™SE HINTEN;*Fitting Position: Rear;*;*;*;*;*;*;*
ZUB00012;*OPEL;*MOTORSCHUTZ UNTEN ASTRA G,;*TUNING ZUBEHÖR;*97-04         OPEL ASTRA G;*T;*1;*24.9;*0;*0;*1;*1400280;*4052355523440;*;*20170221;*70;*20;*2;*0.42;*0.42;*J;*8708 1090;*114;*20230401;*Skid Plate;*97-04         OPEL ASTRA G;*;*;*;*;*;*;*;*
ZUB00014;*;*KAPPE ABSCHLEPP VORNE F30,;*TUNING ZUBEHÖR;*FÜR 1217350+450+550+650;*T;*1;*8;*0;*0;*1;*;*4052355523464;*;*20170222;*12;*6;*1;*0.01;*0.01;*J;*8708 1090;*114;*20230401;*Cover, bumper;*FšR 1217350+450+550+650;*Fitting Position: Front;*;*;*;*;*;*;*
ZUB00017;*;*HALTER PDC SET VO     F30,;*TUNING ZUBEHÖR;*HALTER PDC       F30/31/35;*T;*1;*20.5;*0;*0;*1;*;*4052355523495;*;*20170222;*17;*6;*5;*0.05;*0.05;*J;*8708 1090;*114;*20230401;*Mounting Set, bumper;*HALTER PDC       F30/31/35;*Fitting Position: Front;*;*;*;*;*;*;*
ZUB00018;*BMW;*KAPPE ABSCHLEPP HI    F30,;*TUNING ZUBEHÖR;*KAPPE ABSCHLEPPÖSE HI;*T;*1;*10;*0;*0;*1;*51128056615;*4052355523501;*;*20170222;*7;*7;*1;*0.01;*0.01;*J;*8708 1090;*114;*20230401;*Flap, tow hook;*KAPPE ABSCHLEPP™SE HI;*Fitting Position: Rear;*;*;*;*;*;*;*
ZUB00019;*;*SATZ PDC-HALTER HIN.  F31,;*TUNING ZUBEHÖR;*SATZ PDC-HALTER HIN.  F31,;*T;*1;*18;*0;*0;*1;*;*4052355523518;*;*20170222;*11;*7;*2;*0.3;*0.2;*J;*8708 1090;*114;*20230401;*Mounting Set, bumper;*SATZ PDC-HALTER HIN.  F31,;*Fitting Position: Rear;*Diameter [mm]: 18;*for article number: 1217755;*for article number: 1217756;*for article number: 1217355;*for article number: 1217356;*;*
ZUB00020;*BMW;*KAPPE ABSCHLEPP HI    F31,;*TUNING ZUBEHÖR;*KAPPE ABSCHLEPPÖSE HI;*T;*1;*14.5;*0;*0;*1;*51128056616;*4052355523525;*;*20170222;*14;*7;*1;*0.01;*0.01;*J;*8708 1090;*114;*20230401;*Flap, tow hook;*KAPPE ABSCHLEPP™SE HI;*Fitting Position: Rear;*;*;*;*;*;*;*
ZUB00021;*BMW;*KAPPE ABSCHLEPP HI    E90,;*TUNING ZUBEHÖR;*KAPPE ABSCHLEPPÖSE HI;*T;*1;*19.5;*0;*0;*1;*51 12 8 041 134;*4052355523532;*;*20170223;*12;*8;*1;*0.01;*0.01;*J;*8708 1090;*114;*20230401;*Flap, tow hook;*KAPPE ABSCHLEPP™SE HI;*Fitting Position: Rear;*;*;*;*;*;*;*
ZUB00022;*BMW;*BLENDE NLL RE         E46,;*TUNING ZUBEHÖR;*Blende NLL;*T;*1;*6.9;*0;*0;*1;*51 11 7 893 068;*4052355523549;*;*20170223;*14;*11;*8;*0.07;*0;*J;*8708 1090;*114;*20230401;*Eyelid, fog light;*Blende NLL;*Fitting Position: Right;*;*;*;*;*;*;*
ZUB00023;*BMW;*BLENDE NLL LI         E46,;*TUNING ZUBEHÖR;*Blende NLL           LINKS;*T;*1;*6.9;*0;*0;*1;*51 11 7 893 067;*4052355523556;*;*20170223;*14;*11;*8;*0.07;*0.07;*J;*8708 1090;*114;*20230401;*Eyelid, fog light;*Blende NLL           LINKS;*Fitting Position: Left;*;*;*;*;*;*;*
ZUB00024;*BMW;*KAPPE ABSCHLEPP VO    E46,;*TUNING ZUBEHÖR;*KAPPE ABSCHLEPPÖSE VO;*T;*1;*7;*0;*0;*1;*51 11 7 893 378;*4052355523563;*;*20170223;*5;*3;*2;*0.01;*0.01;*J;*8708 1090;*114;*20230401;*Flap, tow hook;*KAPPE ABSCHLEPP™SE VO;*Fitting Position: Front;*for article number: 1215350;*;*;*;*;*;*
ZUB00025;*;*HALTER PDC SET VO/HI  E60,;*TUNING ZUBEHÖR;*04-07              E60/61;*T;*1;*14.9;*0;*0;*1;*;*4052355523570;*;*20170224;*11;*11;*5;*0.1;*0;*J;*8708 1090;*114;*20230401;*Holder, parking assist sensor;*04-07              E60/61;*Mounting Type: Glue on;*Fitting Position: Front;*Fitting Position: Rear;*Quantity Unit: Kit;*Diameter [mm]: 30;*;*;*
ZUB00027;*;*HALTER PDC SET VO  E60/61,;*TUNING ZUBEHÖR;*08-10              E60/61;*T;*1;*15;*0;*0;*1;*;*4052355523594;*;*20170224;*13;*6;*2;*0.02;*0.02;*J;*8708 1090;*114;*20230401;*Mounting Set, bumper;*08-10              E60/61;*Fitting Position: Front;*;*;*;*;*;*;*
ZUB00028;*;*SATZ PDC-HALTER HIN.  E60,;*TUNING ZUBEHÖR;*08-10                  E60;*T;*1;*10;*0;*0;*1;*;*4052355523600;*;*20170224;*11;*7;*2;*0.02;*0.02;*J;*8708 1090;*114;*20230401;*Mounting Set, bumper;*08-10                  E60;*Fitting Position: Rear;*;*;*;*;*;*;*
ZUB00029;*BMW;*BLENDE NLL LI   F10/11/18,;*TUNING ZUBEHÖR;*10-13                LINKS;*T;*1;*9;*0;*0;*1;*51117906197;*4052355523617;*;*20170224;*29;*13;*4;*0.08;*0.08;*J;*8708 1090;*114;*20230401;*Eyelid, fog light;*10-13                LINKS;*Fitting Position: Left;*;*;*;*;*;*;*
ZUB00030;*BMW;*BLENDE NLL RE   F10/11/18,;*TUNING ZUBEHÖR;*10-13               RECHTS;*T;*1;*9;*0;*0;*1;*51117906198;*4052355523624;*;*20170224;*29;*13;*4;*0.08;*0.08;*J;*8708 1090;*114;*20230401;*Eyelid, fog light;*10-13               RECHTS;*Fitting Position: Right;*;*;*;*;*;*;*
ZUB00031;*;*KAPPE ABSCHLEPP HI    E36,;*TUNING ZUBEHÖR;*KAPPE ABSCHLEPPÖSE HINTEN;*T;*1;*9;*0;*0;*1;*;*4052355523976;*;*20170302;*10;*6;*4;*0.06;*0.06;*J;*8708 1090;*114;*20230401;*Flap, tow hook;*KAPPE ABSCHLEPP™SE HINTEN;*Fitting Position: Rear;*;*;*;*;*;*;*
ZUB00032;*;*GRILL UNTEN      W212 E63,;*TUNING ZUBEHÖR;*10-13;*T;*1;*23;*0;*0;*1;*;*4052355526199;*;*20170315;*103;*4;*24;*1.3;*1.2;*J;*8708 1090;*114;*20230401;*Ventilation Grille, bumper;*Okt 13;*Fitting Position: Centre;*Fitting Position: Lower;*;*;*;*;*;*
ZUB00033;*;*KAPPE SRA LI          E90,;*TUNING ZUBEHÖR;*KAPPE SRA          E90/91;*T;*1;*15;*0;*0;*1;*;*4052355525789;*;*20170313;*10;*6;*3;*0.01;*0.01;*J;*8708 1090;*114;*20230401;*Cover, bumper;*KAPPE SRA          E90/91;*Fitting Position: Front;*Fitting Position: Left;*;*;*;*;*;*
ZUB00034;*BMW;*KAPPE ABSCHLEPP HI    E60,;*TUNING ZUBEHÖR;*KAPPE ABSCHLEPPÖSE HINTEN;*T;*1;*9;*0;*0;*1;*51 12 7 897 217;*4052355527127;*;*20170322;*7;*6;*2;*0.01;*0.01;*J;*8708 1090;*114;*20230401;*Flap, tow hook;*KAPPE ABSCHLEPP™SE HINTEN;*Fitting Position: Rear;*for article number: 1224256;*for article number: 1224255;*for article number: 1224855;*for article number: 1224955;*;*;*
ZUB00036;*;*KAPPE SRA RE          E90,;*TUNING ZUBEHÖR;*KAPPE SRA          E90/91;*T;*1;*17;*0;*0;*1;*;*4052355529701;*;*20170510;*7;*5;*3;*0.01;*0.01;*J;*8708 1090;*114;*20230401;*Cover, bumper;*KAPPE SRA          E90/91;*Fitting Position: Front;*Fitting Position: Right;*;*;*;*;*;*
ZUB00037;*;*NUMMERNSCHILDHALT. E60/61,;*TUNING ZUBEHÖR;*NUMMERNSCHILDHALTER E60/61;*T;*1;*5.5;*0;*0;*1;*;*4052355531698;*;*20170615;*54;*12;*1;*0.1;*0;*J;*8708 1090;*114;*20230401;*Mounting Bracket, bumper;*NUMMERNSCHILDHALTER E60/61;*Fitting Position: Front;*;*;*;*;*;*;*
ZUB00039;*;*GITTER MITTE      GOLF VI,;*TUNING ZUBEHÖR;*08-12;*T;*1;*69;*0;*0;*1;*;*4052355532381;*;*20170703;*88;*18;*7;*0.5;*0.5;*J;*8708 1090;*114;*20230401;*Ventilation Grille, bumper;*08. Dez;*Fitting Position: Centre;*for article number: 2215550;*;*;*;*;*;*
ZUB00040;*;*GITTER RECHTS     GOLF VI,;*TUNING ZUBEHÖR;*08-12;*T;*1;*22;*0;*0;*1;*;*4052355532398;*;*20170703;*45;*22;*5;*0.3;*0;*J;*8708 1090;*114;*20230401;*Ventilation Grille, bumper;*08. Dez;*Fitting Position: Right;*;*;*;*;*;*;*
ZUB00041;*;*GITTER LINKS      GOLF VI,;*TUNING ZUBEHÖR;*08-12;*T;*1;*22;*0;*0;*1;*;*4052355532404;*;*20170703;*44;*22;*5;*0.32;*0.32;*J;*8708 1090;*114;*20230401;*Ventilation Grille, bumper;*08. Dez;*Fitting Position: Left;*;*;*;*;*;*;*
ZUB00043;*;*TAGFAHRLICHT SET  GOLF VI,;*TUNING ZUBEHÖR;*08-12;*T;*1;*179;*0;*0;*1;*;*4052355532442;*;*20170703;*30;*10;*11;*1;*0;*J;*8708 1090;*114;*20230401;*Daytime Running Light;*08. Dez;*Quantity Unit: Kit;*;*;*;*;*;*;*
